City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Muros,42.7762,-9.0603,53.24,94,32,5.39,ES,1644456492
Baruun-Urt,46.6806,113.2792,1.36,94,100,6.93,MN,1644456534
Acapulco de Juárez,16.8634,-99.8901,78.62,73,75,5.75,MX,1644455941
Boa Vista,2.8197,-60.6733,87.78,48,0,10.36,BR,1644456534
Usevya,-7.1,31.2333,64.94,96,100,2.93,TZ,1644456534
Bara,10.3744,10.7288,67.87,11,97,8.52,NG,1644456535
Lawton,34.6087,-98.3903,57.43,23,0,8.05,US,1644456254
Onega,63.9061,38.1404,19.53,93,95,8.77,RU,1644455969
Bathsheba,13.2167,-59.5167,77.61,73,40,17.27,BB,1644455954
Garchitorena,13.8804,123.6946,79.34,76,93,10.42,PH,1644456535
Brae,60.3964,-1.353,33.71,69,99,20.94,GB,1644456282
Chui,-33.6971,-53.4616,65.61,76,0,8.63,UY,1644455962
Erbil,36.1926,44.0106,52.02,59,99,7.49,IQ,1644456536
Vardø,70.3705,31.1107,28.99,77,100,20.38,NO,1644456536
Erenhot,43.6475,111.9767,8.53,80,45,7.9,CN,1644456536
Inhambane,-23.865,35.3833,74.8,83,0,3.42,MZ,1644456537
La Ligua,-32.4524,-71.2311,62.38,82,43,3.69,CL,1644456537
Conceição do Araguaia,-8.2578,-49.2647,74.82,90,100,2.13,BR,1644456537
San-Pédro,4.7485,-6.6363,77.99,92,7,4.54,CI,1644456538
Lüderitz,-26.6481,15.1594,73.54,52,76,17.02,NA,1644455968
Ballina,-28.8667,153.5667,82.58,59,0,10.36,AU,1644456538
Santa Maria,-29.6842,-53.8069,69.1,73,0,8.05,BR,1644456538
Lamu,-2.2717,40.902,79.02,90,32,12.71,KE,1644456539
Kasempa,-13.4584,25.8338,62.28,98,100,4.56,ZM,1644456539
Katsuura,35.1333,140.3,42.82,84,100,18.92,JP,1644456531
Mahajanga,-15.7167,46.3167,77.02,94,40,2.3,MG,1644456539
Bilibino,68.0546,166.4372,-31.16,100,80,1.63,RU,1644456540
Cidreira,-30.1811,-50.2056,72.1,70,99,14.09,BR,1644456540
Wahiawā,21.5028,-158.0236,77.32,62,100,6.91,US,1644456293
Buchanan,5.8808,-10.0467,78.4,86,9,3.62,LR,1644456540
Kahului,20.8947,-156.47,82.42,60,40,12.66,US,1644456512
Kaoma,-14.7833,24.8,63.45,98,100,4.54,ZM,1644456541
Matamoros,25.5333,-103.25,64.51,20,75,3.44,MX,1644456541
Kiryat Gat,31.61,34.7642,48.4,100,74,19.6,IL,1644456022
Champerico,14.3,-91.9167,80.35,70,69,7.07,GT,1644456542
Flinders,-34.5833,150.8552,88.81,58,5,5.01,AU,1644456011
Noyabrsk,63.1994,75.4507,-10.59,92,12,11.32,RU,1644456542
Makushino,55.2103,67.2442,-2.9,99,27,7.52,RU,1644456542
Līsakovsk,52.5369,62.4936,-1.5,100,85,4.63,KZ,1644456543
Henties Bay,-22.116,14.2845,67.86,85,0,5.75,NA,1644456543
Amontada,-3.3617,-39.8317,75.94,79,58,4.45,BR,1644456543
Shitanjing,39.2342,106.3439,17.94,49,100,3.51,CN,1644456544
Hamilton,39.1834,-84.5333,45.79,56,100,13.8,US,1644455904
Yulara,-25.2406,130.9889,87.64,29,46,14.97,AU,1644455948
Mossamedes,-15.1961,12.1522,72.09,84,98,7.2,AO,1644455959
Manggar,-2.8833,108.2667,78.6,83,100,9.24,ID,1644456545
Odda,60.0691,6.5457,40.77,97,100,26.98,NO,1644456545
Arlit,18.7369,7.3853,65.77,9,0,9.48,NE,1644456030
Zliten,32.4674,14.5687,54.79,61,12,8.75,LY,1644456545
Senanga,-16.1167,23.2667,66.85,93,100,3.24,ZM,1644456546
Verkhnyaya Inta,65.9811,60.3094,13.96,69,5,19.55,RU,1644456546
Hope,33.6671,-93.5916,59.05,51,0,4.47,US,1644456546
Kieta,-6.2167,155.6333,85.39,72,43,7.2,PG,1644456546
Kargil,34.5667,76.1,-17.19,95,81,3.44,IN,1644456547
Kudahuvadhoo,2.6708,72.8944,80.85,72,51,8.81,MV,1644456547
Nālūt,30.3333,10.85,44.8,58,2,12.88,LY,1644456547
Shklo,49.9567,23.5441,41.61,90,100,11.9,UA,1644456548
Cho Dok,10.7,105.1167,77.0,79,100,1.21,VN,1644456548
Yumen,40.2833,97.2,20.61,48,100,10.04,CN,1644456549
Maniitsoq,65.4167,-52.9,16.59,93,100,10.98,GL,1644456549
Dwārka,22.2394,68.9678,69.1,47,6,12.64,IN,1644456549
Villa Bisonó,19.5638,-70.8758,75.09,75,6,8.19,DO,1644456550
Bougouni,11.417,-7.479,74.21,17,2,2.95,ML,1644456550
Puerto Maldonado,-12.6,-69.1833,75.04,90,99,1.48,PE,1644456550
Quatre Cocos,-20.2078,57.7625,74.08,76,90,6.11,MU,1644456551
Samarai,-10.6167,150.6667,83.01,68,87,11.52,PG,1644456551
Hervey Bay,-25.2986,152.8535,83.01,56,0,8.01,AU,1644456551
Elko,41.0002,-115.5012,44.62,75,5,3.56,US,1644456552
Provideniya,64.3833,-173.3,-3.89,59,0,17.9,RU,1644456315
Bunbury,-33.3333,115.6333,74.82,44,1,9.57,AU,1644456552
Hofn,64.2539,-15.2082,21.78,70,71,16.69,IS,1644456010
Adrar,20.5022,-10.0711,63.48,14,0,12.21,MR,1644456553
Okhotsk,59.3833,143.3,10.42,77,100,9.93,RU,1644456553
Ostrovnoy,68.0531,39.5131,23.72,87,100,20.65,RU,1644455954
Lata,40.1629,-8.3327,46.72,68,51,3.76,PT,1644456553
Galveston,29.3669,-94.9669,63.18,76,0,8.05,US,1644456554
Kampong Chhnang,12.1667,104.55,80.6,68,6,3.96,KH,1644456554
Hornepayne,49.2138,-84.7705,26.91,97,100,5.41,CA,1644456554
Kotma,23.2,81.9667,57.09,74,67,6.17,IN,1644456555
Normal,40.5142,-88.9906,38.66,72,100,18.41,US,1644456555
Tuatapere,-46.1333,167.6833,74.82,48,16,1.92,NZ,1644455976
Waitati,-45.75,170.5667,66.47,87,95,2.39,NZ,1644456430
Faya,18.3851,42.4509,55.92,83,8,3.78,SA,1644456059
Port Elizabeth,-33.918,25.5701,64.69,82,0,6.91,ZA,1644456525
Ejido,8.5514,-71.2375,67.6,93,54,2.33,VE,1644456556
Lovozero,68.005,35.0117,20.14,92,100,7.34,RU,1644456556
San Andrés,12.5847,-81.7006,80.62,69,20,9.22,CO,1644456556
Plettenberg Bay,-34.0527,23.3716,68.5,73,98,5.48,ZA,1644456557
Stantsionno-Oyashinskiy,55.4664,83.8245,-10.3,90,6,10.18,RU,1644456557
Nabire,-3.3667,135.4833,79.3,86,100,2.86,ID,1644456557
Guder,8.9667,37.7667,58.86,49,71,2.66,ET,1644456558
Fort Nelson,58.8053,-122.7002,9.99,85,75,5.75,CA,1644456558
Sechura,-5.5569,-80.8222,73.74,65,97,14.07,PE,1644456558
Salalah,17.0151,54.0924,69.89,21,0,12.66,OM,1644455968
Margate,51.3813,1.3862,48.96,88,100,1.99,GB,1644456559
Gaza,31.5,34.4667,48.18,71,78,24.09,PS,1644456559
Shimoda,34.6667,138.95,41.36,96,100,18.25,JP,1644456560
Cuenca,-2.8833,-78.9833,57.33,88,75,9.22,EC,1644456528
La Joya,18.6667,-99.4667,78.31,34,5,3.71,MX,1644456560
Ishigaki,24.3448,124.1572,69.93,88,75,5.75,JP,1644456560
Grand Gaube,-20.0064,57.6608,74.37,77,99,1.99,MU,1644456561
Lakes Entrance,-37.8811,147.981,72.16,68,100,8.48,AU,1644456561
Ternate,0.8,127.4,81.7,75,40,4.68,ID,1644456561
Sumbe,-11.2061,13.8437,75.09,79,100,5.77,AO,1644456562
Lázaro Cárdenas,17.9583,-102.2,75.96,64,0,7.07,MX,1644456331
Cherskiy,68.75,161.3,-39.84,99,90,5.08,RU,1644456562
Quelimane,-17.8786,36.8883,72.19,94,3,4.05,MZ,1644456562
Comodoro Rivadavia,-45.8667,-67.5,71.46,18,0,18.41,AR,1644456392
Waipawa,-41.4122,175.5153,71.46,66,100,5.59,NZ,1644456563
Chivay,-15.6383,-71.6011,47.77,66,100,4.68,PE,1644456563
St. George's,12.0564,-61.7485,76.68,83,75,13.8,GD,1644456506
Angoche,-16.2325,39.9086,78.37,79,100,2.1,MZ,1644456563
Ullapool,57.8987,-5.1604,39.34,73,87,22.53,GB,1644456564
Texarkana,33.4251,-94.0477,59.22,37,0,3.44,US,1644456300
Kavaratti,10.5669,72.642,79.97,72,100,15.08,IN,1644456379
Te Anau,-45.4167,167.7167,74.25,41,0,7.23,NZ,1644456564
Edd,13.9297,41.6925,80.19,42,5,16.37,ER,1644456565
Noumea,-22.2763,166.4572,85.98,99,100,18.7,NC,1644456014
Port Macquarie,-31.4333,152.9167,86.9,46,0,4.83,AU,1644456565
Whitehorse,60.7161,-135.0538,38.17,69,40,10.36,CA,1644456565
Longonjo,-12.9067,15.2533,57.69,94,100,1.5,AO,1644456566
Pinellas Park,27.8428,-82.6995,56.44,72,0,9.22,US,1644456358
Caravelas,-17.7125,-39.2481,77.18,88,80,5.84,BR,1644456566
Alta Floresta,-9.8756,-56.0861,70.7,98,100,2.82,BR,1644456566
Aswān,24.0934,32.907,55.27,45,0,15.59,EG,1644456567
Goma,-1.6792,29.2228,63.88,83,100,1.79,CD,1644456567
Sørland,67.667,12.6934,40.14,77,100,31.0,NO,1644456567
Coyah,9.75,-13.4167,69.64,88,53,3.29,GN,1644456567
Serenje,-13.2325,30.2352,62.37,99,100,2.53,ZM,1644456568
Kenitra,34.261,-6.5802,43.56,72,0,3.42,MA,1644456568
Bahādurganj,26.2667,87.8167,59.59,74,88,4.85,IN,1644456568
Gouré,13.9835,10.2704,62.01,8,5,9.15,NE,1644456569
Lorengau,-2.0226,147.2712,84.36,73,78,6.15,PG,1644456569
Edgewater,28.9889,-80.9023,56.28,76,0,4.61,US,1644456272
Jining,35.405,116.5814,42.01,1,0,5.82,CN,1644456569
Dakar,14.6937,-17.4441,74.28,60,69,13.33,SN,1644456570
Talnakh,69.4865,88.3972,-5.8,97,100,10.87,RU,1644456570
Cumana,10.4635,-64.1775,78.89,86,19,11.34,VE,1644456570
Kemijärvi,66.7131,27.4306,26.44,91,100,9.62,FI,1644456571
Codrington,-38.2667,141.9667,65.89,57,93,14.85,AU,1644455826
Aykino,62.2248,49.9922,18.3,94,100,9.33,RU,1644456571
Bontang,0.1333,117.5,76.44,90,100,3.29,ID,1644456571
Chunhuhub,19.55,-88.6833,67.5,82,39,2.98,MX,1644456572
Andapa,-14.65,49.65,68.94,99,100,2.33,MG,1644456572
Luanda,-8.8368,13.2343,75.24,83,100,5.12,AO,1644456572
Eyl,7.9803,49.8164,71.67,73,2,14.88,SO,1644456573
Tabory,58.5198,64.5495,3.78,96,79,7.09,RU,1644456573
Tocopilla,-22.092,-70.1979,68.09,66,0,4.72,CL,1644456573
Loandjili,-4.7561,11.8578,77.11,94,75,3.44,CG,1644456574
Amursk,50.2261,136.8994,-0.02,93,89,3.58,RU,1644456574
Bonthe,7.5264,-12.505,76.82,90,0,2.84,SL,1644456574
Bellmead,31.594,-97.1089,59.38,30,0,4.61,US,1644456575
Muğla Province,37.2303,28.3557,36.27,82,11,9.93,TR,1644456575
Mount Gambier,-37.8333,140.7667,68.45,44,29,10.27,AU,1644456009
Wasilla,61.5814,-149.4394,20.75,83,100,19.57,US,1644456575
Walvis Bay,-22.9575,14.5053,68.09,94,0,4.61,NA,1644456576
Ginir,7.1333,40.7,57.11,42,39,1.1,ET,1644456576
Itupiranga,-5.1347,-49.3267,73.51,96,77,1.05,BR,1644456576
Buraidah,26.326,43.975,57.65,32,1,11.81,SA,1644456577
Mananjary,-21.2167,48.3333,75.45,92,47,5.57,MG,1644456577
Mitsamiouli,-11.3847,43.2844,81.21,75,75,10.76,KM,1644456051
Mabai,23.0128,104.4508,48.92,90,100,5.86,CN,1644456577
Lensk,60.7253,114.9278,-10.68,97,100,3.85,RU,1644456578
Sheridan,44.8333,-106.9173,41.65,62,100,10.36,US,1644456578
Zhigansk,66.7697,123.3711,-34.2,98,84,8.16,RU,1644456578
Avanigadda,16.0215,80.9181,69.94,85,10,3.56,IN,1644456578
Pantai Remis,4.4557,100.6288,78.82,89,100,5.17,MY,1644456579
Esna,25.2934,32.554,53.62,40,0,15.14,EG,1644456579
Serrinha,-11.6642,-39.0075,74.25,78,1,8.68,BR,1644456580
Rome,43.2128,-75.4557,46.26,67,100,5.75,US,1644456580
Vila Velha,-20.3297,-40.2925,75.15,86,75,7.0,BR,1644456334
Lafiagi,8.8667,5.4167,79.39,18,16,2.77,NG,1644456580
Ulaangom,49.9811,92.0667,-19.05,99,100,0.54,MN,1644456581
Viedma,-40.8135,-62.9967,83.3,33,99,10.18,AR,1644456054
Meulaboh,4.1363,96.1285,75.11,87,100,9.04,ID,1644456020
Guerrero Negro,27.9769,-114.0611,66.42,44,0,9.24,MX,1644456581
Cape Coast,5.1053,-1.2466,78.26,89,11,5.75,GH,1644456581
Chapais,49.7834,-74.8492,24.58,96,100,10.63,CA,1644455782
San Quintín,30.4833,-115.95,64.74,44,0,4.97,MX,1644456582
Chambersburg,39.9376,-77.6611,43.41,69,100,1.01,US,1644456457
Yancheng,33.3856,120.1253,39.52,76,9,3.36,CN,1644456582
Bambanglipuro,-7.95,110.2833,78.01,85,100,10.4,ID,1644456583
Bandarbeyla,9.4942,50.8122,72.97,69,100,14.72,SO,1644456583
Tessalit,20.1986,1.0114,64.15,10,0,8.41,ML,1644456584
Calabozo,8.9242,-67.4293,84.42,40,100,6.29,VE,1644456584
Yenagoa,4.9247,6.2642,77.61,84,5,4.79,NG,1644456053
Eten,-6.9081,-79.8642,71.35,75,100,9.98,PE,1644456584
Bubaque,11.2833,-15.8333,77.72,71,3,5.32,GW,1644456585
Cap Malheureux,-19.9842,57.6142,74.46,77,99,1.99,MU,1644456585
Kaitangata,-46.2817,169.8464,68.94,83,88,3.49,NZ,1644456585
Madimba,-10.4,40.3333,78.57,84,100,8.61,TZ,1644456586
Pacific Grove,36.6177,-121.9166,73.35,52,0,0.0,US,1644456586
Chicama,-7.8447,-79.1469,66.74,68,71,4.25,PE,1644456586
Mae Sai,20.4335,99.8762,58.89,56,11,1.92,TH,1644456586
Juneau,58.3019,-134.4197,48.2,89,100,5.01,US,1644456437
Ipixuna,-1.7625,-48.8043,78.75,97,29,3.83,BR,1644456587
Stephenville,32.2207,-98.2023,58.15,23,0,0.0,US,1644456587
Wajima,37.4,136.9,39.88,81,75,8.05,JP,1644456588
Oranjestad,12.524,-70.027,79.02,77,13,21.21,AW,1644456588
Burnie,-41.0667,145.9167,68.94,44,2,10.56,AU,1644456588
Nur,52.6683,22.3221,46.78,91,100,15.28,PL,1644456589
Ha Giang,22.8333,104.9833,59.52,97,100,2.95,VN,1644456589
Oranjemund,-28.55,16.4333,63.66,89,1,7.76,NA,1644456027
Matara,5.9485,80.5353,74.62,84,75,3.83,LK,1644456589
Sayyan,15.1718,44.3244,50.23,37,0,1.21,YE,1644456590
General Roca,-39.0333,-67.5833,79.2,13,0,7.16,AR,1644456590
Santa Cruz de la Sierra,-17.8,-63.1667,76.46,69,8,5.75,BO,1644456590
Mikuni,36.2171,136.1519,37.31,70,100,5.19,JP,1644456591
Nioki,-2.7167,17.6833,75.07,71,90,2.98,CD,1644456591
Altamont,42.2068,-121.7372,60.64,36,0,9.22,US,1644456058
Mareeba,-17.0,145.4333,87.48,54,88,1.45,AU,1644456591
Middelburg,-25.7751,29.4648,66.07,62,62,5.97,ZA,1644456592
Sokoto,13.0609,5.239,69.57,12,3,11.12,NG,1644456592
Killybegs,54.6333,-8.45,35.46,67,100,28.03,IE,1644456592
Panguna,-6.3164,155.4848,80.92,69,44,2.75,PG,1644456593
Poso,-1.3959,120.7524,81.52,71,100,0.65,ID,1644456593
Newtonmore,57.066,-4.1192,32.99,86,99,15.59,GB,1644456593
Tartagal,-22.5164,-63.8013,75.81,50,94,3.33,AR,1644456594
Taltal,-25.4,-70.4833,65.25,79,0,2.64,CL,1644456594
Yeppoon,-23.1333,150.7333,83.98,56,0,8.66,AU,1644456021
Eureka,40.8021,-124.1637,69.13,67,0,5.99,US,1644456594
Clyde River,70.4692,-68.5914,-12.77,70,100,28.77,CA,1644456595
Bengkulu,-3.8004,102.2655,76.66,67,100,3.62,ID,1644456381
Dīr,35.2058,71.8756,31.66,61,3,7.96,PK,1644456595
Sola,-13.8833,167.55,82.17,79,100,25.86,VU,1644456595
Adré,13.4667,22.2,60.82,15,0,13.71,TD,1644456596
Shujaabad,29.8797,71.2931,50.05,46,0,3.13,PK,1644456596
Coyhaique,-45.5752,-72.0662,52.41,70,2,6.76,CL,1644455793
Río Gallegos,-51.6226,-69.2181,53.65,30,0,14.97,AR,1644456355
Moses Lake,47.1301,-119.2781,46.6,75,0,4.61,US,1644456494
Lawrenceburg,38.0373,-84.8966,48.09,61,100,5.75,US,1644456597
Sitka,57.0531,-135.33,42.69,87,100,17.27,US,1644456027
Iqaluit,63.7506,-68.5145,-25.31,67,40,6.91,CA,1644456597
San Fernando del Valle de Catamarca,-28.4696,-65.7852,72.05,56,1,18.9,AR,1644456597
Oistins,13.0667,-59.5333,77.09,73,40,17.27,BB,1644456598
Savonlinna,61.8699,28.88,32.05,100,100,4.61,FI,1644456598
Mindelo,16.8901,-24.9804,71.15,73,0,10.36,CV,1644456598
Yarim,14.298,44.3779,50.25,37,4,2.51,YE,1644456598
Kachīry,53.0675,76.1036,-18.74,100,26,5.21,KZ,1644456599
Udachny,66.4167,112.4,-4.56,83,100,3.2,RU,1644456599
Gorontalo,0.5412,123.0595,84.18,71,99,2.55,ID,1644456037
Nagato,34.3833,131.2,46.35,84,100,9.26,JP,1644456600
Puerto Quijarro,-17.7833,-57.7667,73.65,57,100,2.82,BO,1644456600
Borna,51.1167,12.5,47.84,83,100,5.75,DE,1644456601
Makakilo City,21.3469,-158.0858,79.12,58,75,17.27,US,1644456493
Beisfjord,68.3751,17.5988,29.97,80,100,9.17,NO,1644456602
Abdulino,53.7,53.6667,14.13,92,100,16.11,RU,1644456602
Broome,42.2506,-75.833,43.38,62,100,7.0,US,1644456604
Itabira,-19.6192,-43.2269,66.56,100,100,1.16,BR,1644456605
Kisesa,-3.0833,34.15,63.93,87,100,8.28,TZ,1644456606
Marsá Maţrūḩ,31.3525,27.2453,54.03,59,61,21.0,EG,1644456608
Cockburn Town,21.4612,-71.1419,77.92,74,0,19.64,TC,1644456608
Belmonte,-15.8631,-38.8828,79.3,86,0,6.91,BR,1644456609
Dondo,-19.6094,34.7431,70.88,95,3,3.91,MZ,1644456609
Iralaya,15.0,-83.2333,75.97,78,5,10.56,HN,1644456610
Asău,46.4333,26.4,29.32,89,26,6.89,RO,1644456610
Lima Duarte,-21.8425,-43.7931,63.05,99,100,1.92,BR,1644456610
Merauke,-8.4667,140.3333,85.3,69,77,6.55,ID,1644456611
Tilichiki,60.4667,166.1,-6.84,75,5,5.44,RU,1644456611
Deyang,31.1302,104.382,41.54,74,93,0.96,CN,1644456612
Sur,22.5667,59.5289,66.56,65,3,2.24,OM,1644456612
Plouzané,48.3833,-4.6167,46.72,96,100,9.22,FR,1644456613
Talara,-4.5772,-81.2719,72.01,82,28,10.63,PE,1644456613
Hirara,24.8,125.2833,70.07,88,75,3.44,JP,1644456351
Rāvar,31.2656,56.8055,46.72,26,0,1.95,IR,1644456613
Jinchang,38.4953,102.1739,24.73,47,93,2.28,CN,1644456614
Linköping,58.4109,15.6216,37.81,75,81,17.27,SE,1644456614
Abulug,18.4453,121.4533,77.32,79,20,5.06,PH,1644456614
Kaka,37.3482,59.6143,47.68,34,1,3.42,TM,1644456615
Taoudenni,22.6783,-3.9836,63.12,22,1,12.01,ML,1644456611
Mercedes,-34.6515,-59.4307,72.84,76,0,10.0,AR,1644456615
Hong Kong,22.2855,114.1577,64.94,87,95,1.99,HK,1644456436
Colomi,-17.35,-65.8667,55.42,89,92,4.5,BO,1644456616
Evensk,61.95,159.2333,-5.49,74,62,2.91,RU,1644455835
Nueve de Julio,-35.4444,-60.8831,69.71,52,0,8.75,AR,1644456616
Mogadishu,2.0371,45.3438,76.35,77,100,20.74,SO,1644456059
Cuamba,-14.8031,36.5372,68.97,99,100,1.88,MZ,1644456617
Esperance,-33.8667,121.9,75.04,54,4,9.28,AU,1644456617
